"filename", "language", "JavaScript", "JSON", "Vue", "TypeScript", "Markdown", "HTML", "comment", "blank", "total"
"f:\MyProjects\antd-admin\.eslintrc.js", "JavaScript", 293, 0, 0, 0, 0, 0, 19, 1, 313
"f:\MyProjects\antd-admin\.stylelintrc.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 39
"f:\MyProjects\antd-admin\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 6, 25
"f:\MyProjects\antd-admin\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\MyProjects\antd-admin\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"f:\MyProjects\antd-admin\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"f:\MyProjects\antd-admin\src\@types\axios.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 3, 1, 13
"f:\MyProjects\antd-admin\src\@types\file-module.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 1, 1, 6
"f:\MyProjects\antd-admin\src\@types\shims-vue.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"f:\MyProjects\antd-admin\src\App.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 1, 11
"f:\MyProjects\antd-admin\src\api\auth\login.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"f:\MyProjects\antd-admin\src\api\auth\user.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 2, 7
"f:\MyProjects\antd-admin\src\components\AsyncButton\index.vue", "Vue", 0, 0, 78, 0, 0, 0, 0, 1, 79
"f:\MyProjects\antd-admin\src\components\index.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"f:\MyProjects\antd-admin\src\hooks\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"f:\MyProjects\antd-admin\src\hooks\usePage.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"f:\MyProjects\antd-admin\src\hooks\useScroll.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 1, 2, 42
"f:\MyProjects\antd-admin\src\hooks\useThrottle.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 2, 17
"f:\MyProjects\antd-admin\src\layout\components\LayoutMenu.vue", "Vue", 0, 0, 32, 0, 0, 0, 1, 4, 37
"f:\MyProjects\antd-admin\src\layout\components\LayoutMenuItem.vue", "Vue", 0, 0, 15, 0, 0, 0, 0, 2, 17
"f:\MyProjects\antd-admin\src\layout\components\LayoutMenuSub.vue", "Vue", 0, 0, 27, 0, 0, 0, 0, 2, 29
"f:\MyProjects\antd-admin\src\layout\defaultLayout.vue", "Vue", 0, 0, 155, 0, 0, 0, 1, 4, 160
"f:\MyProjects\antd-admin\src\main.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 1, 15
"f:\MyProjects\antd-admin\src\models\index.d.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 3, 23
"f:\MyProjects\antd-admin\src\plugins\axios.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 13, 9, 161
"f:\MyProjects\antd-admin\src\plugins\config.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"f:\MyProjects\antd-admin\src\router\componentMap.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 4, 21
"f:\MyProjects\antd-admin\src\router\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"f:\MyProjects\antd-admin\src\router\routes.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 1, 63
"f:\MyProjects\antd-admin\src\store\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 1, 9
"f:\MyProjects\antd-admin\src\store\modules\menu.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 1, 17
"f:\MyProjects\antd-admin\src\utils\date.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 5, 1, 13
"f:\MyProjects\antd-admin\src\utils\index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"f:\MyProjects\antd-admin\src\views\auth\user\index.vue", "Vue", 0, 0, 74, 0, 0, 0, 2, 2, 78
"f:\MyProjects\antd-admin\src\views\login\login.vue", "Vue", 0, 0, 98, 0, 0, 0, 0, 3, 101
"f:\MyProjects\antd-admin\tsconfig.json", "JSON", 0, 31, 0, 0, 0, 0, 11, 1, 43
"f:\MyProjects\antd-admin\vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 348, 82, 489, 415, 19, 16, 59, 78, 1506